url,FileSize,NumOfOutLink,ContentType
https://www.nytimes.com/,564 KB,146,text/html
https://www.nytimes.com/video,230 KB,80,text/html
https://www.nytimes.com/2018/09/30/business/media/instagram-influencers-penthouse.html,720 KB,131,text/html
https://www.nytimes.com/2018/09/30/opinion/james-comey-fbi-kavanaugh-investigation.html,526 KB,120,text/html
https://www.nytimes.com/section/us,133 KB,142,text/html
https://www.nytimes.com/video/us/politics/100000006137793/trump-north-america-canada-mexico-deal.html?playlistId=1194811622217,478 KB,85,text/html
https://www.nytimes.com/section/opinion,162 KB,200,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8R3WU.html,17 KB,42,text/html
https://www.nytimes.com/2018/10/01/books/review/shane-bauer-american-prison.html,621 KB,128,text/html
https://www.nytimes.com/2018/10/01/upshot/maps-neighborhoods-shape-child-poverty.html,1013 KB,133,text/html
https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html,475 KB,87,text/html
https://www.nytimes.com/section/climate,137 KB,146,text/html
https://www.nytimes.com/2018/10/01/us/las-vegas-massacre-paddock.html,638 KB,128,text/html
https://www.nytimes.com/video/opinion/100000006048561/calving-season.html,242 KB,82,text/html
https://www.nytimes.com/video/us/100000006134502/kavanaugh-hearings-comparison.html?playlistId=100000006090324,347 KB,83,text/html
https://www.nytimes.com/2018/10/01/opinion/trump-wants-to-turn-the-safety-net-into-a-trap.html,574 KB,130,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-319373aaf4524d94d38aa599c56b8655.png,3 KB,0,image/png
https://www.nytimes.com/video/arts,560 KB,85,text/html
https://www.nytimes.com/section/books,161 KB,178,text/html
https://www.nytimes.com/video/nyregion/100000005990101/junior-murder-bronx-trinitarios.html,1024 KB,82,text/html
https://www.nytimes.com/section/arts/television,140 KB,156,text/html
https://www.nytimes.com/2018/10/01/us/politics/nafta-deal-trump-canada-mexico.html,723 KB,122,text/html
https://www.nytimes.com/section/opinion/sunday,106 KB,123,text/html
https://www.nytimes.com/video/arts/100000006020764/online-proposal-videos.html,574 KB,83,text/html
https://www.nytimes.com/video/world/asia/100000005336868/capitalism-china-health-care-system.html,460 KB,84,text/html
https://www.nytimes.com/video/world/middleeast/100000001253159/2011-arab-spring.html,332 KB,85,text/html
https://www.nytimes.com/section/arts,137 KB,150,text/html
https://www.nytimes.com/2018/10/01/world/asia/pictures-indonesia-tsunami-earthquake.html,613 KB,124,text/html
https://www.nytimes.com/section/opinion/contributors,286 KB,111,text/html
https://www.nytimes.com/tips,43 KB,26,text/html
https://www.nytimes.com/video/us/politics/100000006138441/trump-usmca-nafta-press-conference.html?playlistId=100000003890188,392 KB,86,text/html
https://www.nytimes.com/video/us/100000006136380/trump-kim-jong-un-we-fell-in-love.html?playlistId=100000003890188,393 KB,86,text/html
https://www.nytimes.com/section/opinion?pagetype=Homepage&action=click&module=Opinion,162 KB,201,text/html
https://www.nytimes.com/2018/10/01/us/politics/trump-fbi-kavanaugh.html,795 KB,134,text/html
https://www.nytimes.com/video/opinion/100000005675688/my-dead-dads-porno-tapes.html,233 KB,83,text/html
https://www.nytimes.com/video/us/politics/100000005524412/paul-manafort-fraud-laundering-scandal.html,397 KB,85,text/html
https://www.nytimes.com/section/opinion/columnists,106 KB,123,text/html
https://www.nytimes.com/2018/09/30/sports/mets-david-wright-final-game.html,777 KB,130,text/html
https://www.nytimes.com/section/theater,138 KB,155,text/html
https://www.nytimes.com/section/fashion/weddings,179 KB,193,text/html
http://www.nytimes.com/services/mobile/index.html,9 KB,19,text/html
https://www.nytimes.com/section/world,161 KB,173,text/html
https://www.nytimes.com/2018/10/01/podcasts/the-daily/jeff-flake-brett-kavanaugh-fbi.html,723 KB,162,text/html
https://www.nytimes.com/interactive/2018/10/01/world/asia/map-tsunami-indonesia.html,89 KB,27,text/html
https://www.nytimes.com/video/t-magazine/design/100000005955125/house-tour-cary-leibowitz.html,236 KB,81,text/html
https://www.nytimes.com/section/learning,153 KB,159,text/html
https://www.nytimes.com/video/opinion/100000004882589/ten-meter-tower.html,221 KB,83,text/html
https://www.nytimes.com/section/education,138 KB,149,text/html
https://www.nytimes.com/section/obituaries,151 KB,166,text/html
https://www.nytimes.com/2018/10/01/us/politics/biden-2020-anita-hill-kavanaugh.html,751 KB,140,text/html
https://www.nytimes.com/section/movies,137 KB,158,text/html
https://www.nytimes.com/video/world/asia/100000005336868/capitalism-china-health-care-system.html?playlistId=100000002500298,460 KB,84,text/html
https://www.nytimes.com/2018/10/01/opinion/migrant-children-tent-city-texas.html,412 KB,127,text/html
https://www.nytimes.com/2018/09/30/us/encinitas-shark-attack-san-diego.html,457 KB,131,text/html
https://www.nytimes.com/video/world/middleeast/100000005842637/syria-hospital-attacks.html,636 KB,85,text/html
https://www.nytimes.com/section/t-magazine,167 KB,183,text/html
https://www.nytimes.com/2018/10/01/health/nobel-prize-medicine.html,1024 KB,134,text/html
https://www.nytimes.com/interactive/2018/10/01/us/las-vegas-shooting-victims.html,149 KB,32,text/html
